osmid,name,anlik_risk,geometry
892664571dbffff,"H3:892664571dbffff (suc=0, lamba_ariza=5)",3.97,"LINESTRING (-87.69925276102504 41.68526038839879, -87.69925276102504 41.68526038839879)"
892664cc333ffff,"H3:892664cc333ffff (suc=55, lamba_ariza=34)",93.16,"LINESTRING (-87.62178010503972 41.75677125197332, -87.62178010503972 41.75677125197332)"
892664ccc0bffff,"H3:892664ccc0bffff (suc=5, lamba_ariza=9)",23.05,"LINESTRING (-87.58162427751944 41.74905782188441, -87.58162427751944 41.74905782188441)"
892664ca6dbffff,"H3:892664ca6dbffff (suc=6, lamba_ariza=12)",28.84,"LINESTRING (-87.74753748240886 41.964943822908445, -87.74753748240886 41.964943822908445)"
892664d8e7bffff,"H3:892664d8e7bffff (suc=13, lamba_ariza=15)",49.26,"LINESTRING (-87.70264236409444 41.99626048901671, -87.70264236409444 41.99626048901671)"
892664cc92bffff,"H3:892664cc92bffff (suc=39, lamba_ariza=11)",74.95,"LINESTRING (-87.56470787852051 41.70517512158424, -87.56470787852051 41.70517512158424)"
892664d9a8fffff,"H3:892664d9a8fffff (suc=5, lamba_ariza=40)",40.13,"LINESTRING (-87.77630893125487 41.990762356225105, -87.77630893125487 41.990762356225105)"
8926645660fffff,"H3:8926645660fffff (suc=8, lamba_ariza=31)",46.23,"LINESTRING (-87.6547711579421 41.69731795521646, -87.6547711579421 41.69731795521646)"
89266457017ffff,"H3:89266457017ffff (suc=4, lamba_ariza=11)",22.57,"LINESTRING (-87.70818893592131 41.69211421084056, -87.70818893592131 41.69211421084056)"
892664cd807ffff,"H3:892664cd807ffff (suc=24, lamba_ariza=40)",77.52,"LINESTRING (-87.66282527062663 41.73431803548649, -87.66282527062663 41.73431803548649)"
892664c1147ffff,"H3:892664c1147ffff (suc=4, lamba_ariza=10)",22.63,"LINESTRING (-87.62620094576666 41.91456843063912, -87.62620094576666 41.91456843063912)"
892664cc26bffff,"H3:892664cc26bffff (suc=20, lamba_ariza=21)",66.88,"LINESTRING (-87.65948850126276 41.77029466514788, -87.65948850126276 41.77029466514788)"
892664cae67ffff,"H3:892664cae67ffff (suc=117, lamba_ariza=12)",84.11,"LINESTRING (-87.71012717249621 41.89391771924746, -87.71012717249621 41.89391771924746)"
